participant,peak_number,peak_index,timestamp,amplitude,detection_method,added_peak
ALS,1,19,0.4928338527679443,0.0080544063335292,balanced_clinical,False
ALS,2,236,6.732221841812134,0.0086567584908884,balanced_clinical,False
ALS,3,326,9.364343881607056,0.009222163372679,balanced_clinical,False
ALS,4,365,10.427366733551024,0.0086059892196335,balanced_clinical,False
ALS,5,397,11.34711217880249,0.0093508147736032,balanced_clinical,False
ALS,6,451,12.898142099380491,0.0086761790533825,balanced_clinical,False
ALS,7,532,15.171993732452393,0.0088748038168145,balanced_clinical,False
ALS,8,590,16.802559852600098,0.0151044509268295,balanced_clinical,False
ALS,9,644,18.349520206451416,0.0094657864694909,balanced_clinical,False
ALS,10,684,19.432419776916504,0.0095352552198425,balanced_clinical,False
ALS,11,751,21.28112816810608,0.0095470311033314,balanced_clinical,False
ALS,12,792,22.39480209350586,0.0089364360840545,balanced_clinical,False
ALS,13,824,23.399524450302124,0.0090851818622614,balanced_clinical,False
ALS,14,898,25.535484313964844,0.0096765924416842,balanced_clinical,False
ALS,15,995,28.237162351608276,0.0098118355150119,balanced_clinical,False
ALS,16,1082,30.81805181503296,0.0099385008189492,balanced_clinical,False
ALS,17,1179,33.566275119781494,0.0097757795695886,balanced_clinical,False
ALS,18,1308,37.34489130973816,0.0107908918013932,balanced_clinical,False
ALS,19,1444,41.247074604034424,0.0107892155074084,balanced_clinical,False
ALS,20,1591,45.39491629600525,0.0101542992128639,balanced_clinical,False
ALS,21,1710,48.92474555969238,0.0104408650146884,balanced_clinical,False
ALS,22,1837,52.568784952163696,0.0107141208936892,balanced_clinical,False
ALS,23,1918,54.98721218109131,0.009482890904547,balanced_clinical,False
