participant,peak_number,peak_index,timestamp,amplitude,detection_method,added_peak
ALS,1,4548,5.573604583740234,0.0108728950027327,balanced_clinical,False
ALS,2,4663,8.817903757095337,0.0080847597306563,balanced_clinical,False
ALS,3,4757,11.507274866104126,0.0078026538999148,balanced_clinical,False
ALS,4,4830,13.58103346824646,0.0076036113691083,balanced_clinical,False
ALS,5,4906,15.768518209457397,0.0074674767174776,balanced_clinical,False
ALS,6,4991,18.214370727539062,0.0066942856336868,balanced_clinical,True
ALS,7,5084,20.879171133041382,0.0071442994076461,balanced_clinical,False
ALS,8,5161,23.092772245407104,0.0079563939575047,balanced_clinical,False
ALS,9,5240,25.3685781955719,0.0075083826642252,balanced_clinical,False
ALS,10,5330,27.986421823501587,0.0082962838695422,balanced_clinical,False
ALS,11,5415,30.360421180725098,0.0077217948245511,balanced_clinical,False
ALS,12,5459,31.576812267303467,0.00883171602752,balanced_clinical,False
ALS,13,5511,33.04669427871704,0.0080466442898057,balanced_clinical,False
ALS,14,5672,37.68597412109375,0.0086022105482191,balanced_clinical,False
ALS,15,5787,40.96696209907532,0.0070430069493483,balanced_clinical,False
ALS,16,5934,45.170997858047485,0.0074064549761397,balanced_clinical,False
ALS,17,6051,48.472108602523804,0.0081156106020868,balanced_clinical,False
ALS,18,6185,52.14054799079895,0.0081156106020868,balanced_clinical,False
ALS,19,6267,54.488242387771606,0.0073409820635384,balanced_clinical,False
